iter	Passed	Remaining
321	1364	2873
322	1367	2866
323	1370	2860
324	1374	2854
325	1377	2847
326	1380	2841
327	1383	2834
328	1386	2828
329	1390	2823
330	1397	2824
331	1400	2818
332	1405	2814
333	1409	2809
334	1412	2803
335	1415	2796
336	1418	2790
337	1422	2785
338	1425	2779
339	1429	2773
340	1432	2768
341	1436	2763
342	1440	2759
343	1444	2753
344	1448	2750
345	1451	2744
346	1454	2737
347	1457	2731
348	1460	2725
349	1463	2718
350	1467	2714
351	1470	2707
352	1473	2701
353	1477	2696
354	1480	2689
355	1484	2685
356	1488	2681
357	1495	2681
358	1499	2676
359	1503	2672
360	1507	2668
361	1511	2663
362	1514	2658
363	1518	2652
364	1521	2647
365	1524	2640
366	1529	2638
367	1533	2632
368	1536	2627
369	1539	2621
370	1543	2616
371	1546	2610
372	1549	2604
373	1552	2599
374	1555	2593
375	1560	2590
376	1563	2584
377	1567	2578
378	1570	2573
379	1573	2567
380	1576	2561
381	1579	2556
382	1582	2550
383	1586	2545
384	1589	2539
385	1592	2533
386	1595	2527
387	1599	2522
388	1602	2516
389	1605	2511
390	1609	2507
391	1613	2502
392	1616	2496
393	1619	2491
394	1623	2486
395	1627	2481
396	1630	2476
397	1633	2470
398	1636	2465
399	1639	2459
400	1643	2454
401	1646	2449
402	1649	2443
403	1652	2438
404	1655	2432
405	1659	2427
406	1662	2422
407	1666	2418
408	1669	2413
409	1673	2407
410	1676	2402
411	1679	2397
412	1683	2392
413	1686	2387
414	1690	2382
415	1693	2377
416	1697	2372
417	1699	2366
418	1703	2361
419	1706	2357
420	1709	2351
421	1713	2346
422	1716	2341
423	1720	2336
424	1723	2331
425	1726	2326
426	1729	2320
427	1732	2315
428	1735	2309
429	1738	2304
430	1741	2299
431	1745	2294
432	1748	2289
433	1754	2288
434	1759	2284
435	1762	2279
436	1767	2276
437	1770	2271
438	1773	2266
439	1777	2261
440	1780	2256
441	1783	2251
442	1786	2246
443	1790	2242
444	1793	2236
445	1796	2231
446	1799	2226
447	1803	2222
448	1806	2216
449	1809	2212
450	1813	2207
451	1816	2201
452	1819	2196
453	1822	2192
454	1826	2187
455	1829	2182
456	1832	2177
457	1835	2172
458	1839	2167
459	1842	2162
460	1845	2157
461	1848	2152
462	1851	2147
463	1855	2143
464	1858	2138
465	1861	2133
466	1865	2128
467	1868	2123
468	1871	2118
469	1874	2113
470	1877	2108
471	1880	2103
472	1883	2098
473	1886	2093
474	1889	2088
475	1893	2083
476	1896	2079
477	1899	2074
478	1903	2069
479	1905	2064
480	1909	2060
481	1912	2055
482	1916	2051
483	1919	2046
484	1923	2042
485	1926	2037
486	1930	2033
487	1933	2028
488	1936	2023
489	1939	2018
490	1942	2013
491	1945	2009
492	1949	2004
493	1952	1999
494	1954	1994
495	1957	1989
496	1961	1985
497	1964	1980
498	1967	1975
499	1970	1970
500	1973	1966
501	1977	1961
502	1980	1957
503	1983	1952
504	1986	1947
505	1989	1942
506	1993	1938
507	1997	1934
508	2001	1930
509	2004	1925
510	2007	1921
511	2011	1917
512	2018	1916
513	2022	1912
514	2025	1907
515	2029	1903
516	2033	1899
517	2036	1895
518	2039	1890
519	2042	1885
520	2046	1881
521	2048	1876
522	2052	1871
523	2055	1866
524	2058	1862
525	2061	1857
526	2064	1853
527	2067	1848
528	2070	1843
529	2073	1839
530	2077	1834
531	2080	1830
532	2083	1825
533	2086	1821
534	2089	1816
535	2092	1811
536	2096	1807
537	2099	1802
538	2102	1798
539	2105	1793
540	2108	1789
541	2111	1784
542	2115	1780
543	2119	1776
544	2122	1772
545	2126	1767
546	2129	1763
547	2133	1759
548	2137	1755
549	2140	1751
550	2143	1746
551	2147	1742
552	2150	1738
553	2153	1734
554	2157	1729
555	2160	1725
556	2163	1720
557	2166	1716
558	2169	1711
559	2173	1707
560	2177	1703
561	2180	1699
562	2183	1695
563	2187	1690
564	2190	1686
565	2193	1682
566	2197	1678
567	2200	1673
568	2203	1669
569	2207	1665
570	2210	1660
571	2213	1656
572	2216	1652
573	2220	1647
574	2223	1643
575	2226	1639
576	2229	1634
577	2233	1630
578	2236	1626
579	2239	1621
580	2242	1617
581	2245	1613
582	2249	1608
583	2252	1604
584	2255	1600
585	2259	1595
586	2262	1591
587	2265	1587
588	2268	1583
589	2271	1578
590	2276	1575
591	2281	1572
592	2284	1567
593	2287	1563
594	2291	1559
595	2295	1556
596	2299	1552
597	2302	1547
598	2305	1543
599	2309	1539
600	2313	1535
601	2317	1531
602	2320	1527
603	2323	1523
604	2327	1519
605	2330	1515
606	2334	1511
607	2337	1507
608	2341	1503
609	2344	1499
610	2348	1495
611	2351	1491
612	2355	1487
613	2358	1483
614	2362	1479
615	2365	1474
616	2369	1470
617	2376	1469
618	2379	1464
619	2383	1461
620	2386	1456
621	2391	1453
622	2395	1449
623	2398	1445
624	2401	1441
625	2405	1437
626	2408	1432
627	2412	1429
628	2416	1425
629	2419	1421
630	2423	1417
631	2426	1413
632	2430	1409
633	2434	1405
634	2437	1401
635	2441	1397
636	2444	1393
637	2448	1389
638	2452	1385
639	2455	1381
640	2459	1377
641	2462	1373
642	2466	1369
643	2470	1365
644	2473	1361
645	2477	1357
646	2481	1353
647	2484	1349
648	2488	1345
649	2492	1342
650	2496	1338
651	2501	1335
652	2505	1331
653	2510	1328
654	2514	1324
655	2519	1321
656	2523	1317
657	2528	1314
658	2532	1310
659	2540	1308
660	2546	1305
661	2553	1303
662	2558	1300
663	2566	1298
664	2571	1295
665	2579	1293
666	2584	1290
667	2591	1287
668	2598	1285
669	2603	1282
670	2613	1281
671	2618	1277
672	2627	1276
673	2633	1273
674	2642	1272
675	2649	1269
676	2658	1268
677	2664	1265
678	2672	1263
679	2679	1260
680	2685	1258
681	2694	1256
682	2699	1253
683	2710	1252
684	2716	1249
685	2726	1248
686	2732	1245
687	2742	1243
688	2748	1240
689	2757	1238
690	2764	1236
691	2772	1233
692	2785	1233
693	2797	1233
694	2811	1233
695	2823	1233
696	2830	1230
697	2844	1230
698	2855	1229
699	2863	1227
700	2873	1225
701	2881	1223
702	2890	1221
703	2900	1219
704	2908	1217
705	2918	1215
706	2925	1212
707	2936	1211
708	2943	1208
709	2952	1206
710	2958	1202
711	2965	1199
712	2971	1196
713	2981	1194
714	2987	1190
715	2995	1187
716	3002	1184
717	3009	1181
718	3018	1179
719	3024	1176
720	3034	1174
721	3044	1172
722	3052	1169
723	3061	1166
724	3066	1162
725	3071	1159
726	3076	1155
727	3082	1151
728	3086	1147
729	3092	1143
730	3097	1139
731	3102	1135
732	3107	1131
733	3112	1128
734	3117	1124
735	3122	1120
736	3128	1116
737	3135	1112
738	3140	1109
739	3145	1105
740	3152	1101
741	3157	1097
742	3163	1094
743	3169	1090
744	3175	1086
745	3181	1083
746	3187	1079
747	3193	1075
748	3198	1071
749	3203	1067
750	3208	1063
751	3214	1060
752	3219	1056
753	3225	1052
754	3230	1048
755	3235	1044
756	3241	1040
757	3246	1036
758	3253	1033
759	3259	1029
760	3265	1025
761	3270	1021
762	3275	1017
763	3281	1013
764	3287	1009
765	3293	1006
766	3302	1003
767	3309	999
768	3315	995
769	3322	992
770	3326	987
771	3330	983
772	3334	979
773	3338	974
774	3343	970
775	3351	967
776	3361	964
777	3370	961
778	3379	958
779	3388	955
780	3398	952
781	3408	950
782	3416	946
783	3427	944
784	3434	940
785	3446	938
786	3455	935
787	3464	931
788	3474	929
789	3482	925
790	3492	922
791	3501	919
792	3511	916
793	3522	913
794	3531	910
795	3544	908
796	3553	905
797	3567	903
798	3579	900
799	3591	897
800	3600	894
801	3608	890
802	3618	887
803	3625	883
804	3635	880
805	3642	876
806	3652	873
807	3660	869
808	3669	866
809	3678	862
810	3687	859
811	3698	856
812	3706	852
813	3717	849
814	3725	845
815	3736	842
816	3743	838
817	3751	834
818	3760	831
819	3767	827
820	3776	823
821	3784	819
822	3790	815
823	3800	811
824	3806	807
825	3816	803
826	3827	800
827	3839	797
828	3850	794
829	3859	790
830	3868	786
831	3877	783
832	3884	778
833	3894	775
834	3902	771
835	3913	767
836	3920	763
837	3931	760
838	3938	755
839	3947	751
840	3954	747
841	3961	743
842	3967	738
843	3974	734
844	3979	729
845	3984	725
846	3990	720
847	3996	716
848	4002	711
849	4007	707
850	4013	702
851	4019	698
852	4024	693
853	4031	689
854	4037	684
855	4043	680
856	4049	675
857	4054	671
858	4060	666
859	4066	661
860	4072	657
861	4078	652
862	4086	648
863	4091	644
864	4095	639
865	4100	634
866	4105	629
867	4109	624
868	4113	620
869	4117	615
870	4123	610
871	4130	606
872	4136	601
873	4143	597
874	4153	593
875	4160	588
876	4170	584
877	4178	580
878	4189	576
879	4196	572
880	4207	568
881	4215	563
882	4222	559
883	4229	554
884	4238	550
885	4247	546
886	4255	542
887	4268	538
888	4275	533
889	4286	529
890	4293	525
891	4302	520
892	4308	516
893	4315	511
894	4321	506
895	4329	502
896	4335	497
897	4344	493
898	4350	488
899	4356	484
900	4363	479
901	4370	474
902	4377	470
903	4384	465
904	4391	460
905	4397	456
906	4404	451
907	4411	446
908	4418	442
909	4425	437
910	4432	433
911	4439	428
912	4447	423
913	4453	419
914	4460	414
915	4467	409
916	4473	404
917	4480	400
918	4487	395
919	4493	390
920	4500	386
921	4507	381
922	4513	376
923	4519	371
924	4527	367
925	4534	362
926	4541	357
927	4547	352
928	4554	348
929	4561	343
930	4567	338
931	4573	333
932	4579	328
933	4585	324
934	4592	319
935	4597	314
936	4604	309
937	4609	304
938	4615	299
939	4623	295
940	4629	290
941	4636	285
942	4643	280
943	4649	275
944	4656	270
945	4661	266
946	4668	261
947	4674	256
948	4680	251
949	4686	246
950	4693	241
951	4699	236
952	4705	232
953	4711	227
954	4717	222
955	4723	217
956	4728	212
957	4734	207
958	4740	202
959	4746	197
960	4752	192
961	4758	187
962	4763	183
963	4769	178
964	4775	173
965	4782	168
966	4788	163
967	4795	158
968	4801	153
969	4807	148
970	4813	143
971	4818	138
972	4824	133
973	4830	128
974	4836	124
975	4841	119
976	4847	114
977	4854	109
978	4859	104
979	4865	99
980	4871	94
981	4876	89
982	4884	84
983	4890	79
984	4896	74
985	4902	69
986	4907	64
987	4912	59
988	4918	54
989	4923	49
990	4928	44
991	4933	39
992	4938	34
993	4943	29
994	4949	24
995	4954	19
996	4959	14
997	4964	9
998	4970	4
999	4975	0
